,u,var,speed,direction
0,378.75,374.9166667,0.080981879,58.05928091
1,7329.75,6197.916667,0.180833641,51.46481475
2,1298.75,1265.916667,0.140499973,63.44110891
3,953,959.8333333,0.135710666,75.36768872
4,3295.25,2543.916667,0.069915448,65.85091736
5,2467.25,1933.916667,0.075802594,62.76409286
6,3629.25,3373.083333,0.20497362,58.45785423
7,1447.5,1326.166667,0.130668476,59.13025264
8,3610.25,3163.083333,0.164394506,52.10606228
9,5568,3510.333333,0.089488565,44.06604121
10,2442,2352.666667,0.158051128,77.48876539
11,615.5,555.8333333,0.13937329,31.18561189
12,4708.5,4220.5,0.257394823,70.86110861
13,3498.5,3254.333333,0.277843011,47.35105445
14,6594,5968.166667,0.282058601,43.28884818
15,788,770.5,0.271654575,52.29768577
16,2781.75,2379.75,0.117201779,59.88937134
17,6904.25,4573.916667,0.089608425,65.5342283
18,6860,6039.5,0.201357302,47.31687643
19,3657.75,3334.75,0.229850562,76.28338284
20,6110.75,4029.083333,0.078914334,51.39481429
21,3922.5,3503.5,0.143747537,90.18991255
22,3895.5,3362.333333,0.268442197,42.73882614
23,1801,1673.666667,0.253311834,43.46405285
24,6695.5,6125.5,0.254560422,65.744888
25,4897.75,3783.25,0.109611936,49.87421108
26,4662.25,4237.416667,0.192420173,51.46186015
27,3069.25,2808.25,0.245376959,36.21550559
28,8025,6851.666667,0.180833641,53.60622166
29,2316.5,2076.666667,0.136572727,55.49475187
30,8782.75,5063.583333,0.085469862,57.45832395
31,6635.5,5848,0.233502127,71.26951422
32,1210.5,1104.166667,0.122318362,34.27033138
33,5298.25,4587.916667,0.258244843,72.63496336
34,1160.5,1012,0.075802594,62.44495581
35,570.75,569.0833333,0.181282614,52.57610333
36,4374,3807.333333,0.248648386,38.78263999
37,2191.5,2029.833333,0.115240392,85.39152174
38,4087,3813.333333,0.275636416,55.50061343
39,1637.25,1514.916667,0.241409512,66.08117734
40,5499,4921.5,0.227141598,53.38529381
41,2867,2450.666667,0.110884972,71.95335773
42,6723,5511,0.152899263,39.10488594
43,3832,3003,0.114883672,58.84730491
44,5923,4235.5,0.10331033,65.66892991
45,6454.75,5861.416667,0.269984957,61.26012053
46,2628.25,2423.083333,0.288188853,48.1677186
47,5533,4499.333333,0.20597869,38.89306373
48,8066.5,7327.5,0.230417172,33.68319267
49,5454.75,4822.25,0.276039263,45.85579589
50,8429,6979,0.167631439,57.82997478
51,5799.5,5158.833333,0.270747396,59.66306706
52,454,454.6666667,0.219380438,87.34997504
53,9111.5,5246.333333,0.078035846,70.4315565
54,7493.25,6657.083333,0.237751215,40.66721992
55,757.5,764.5,0.269177054,42.7870589
56,6100.25,5493.583333,0.236752261,58.64475955
57,3493,3215.166667,0.262776879,58.67173985
58,2498.25,1971.25,0.081078802,34.48196818
59,2382.75,2089.083333,0.129848001,41.12425017
60,8464,7044.666667,0.172739957,68.26293903
61,988.25,971.25,0.273149415,46.78725463
62,2978.75,2535.75,0.125649591,78.62863306
63,2364.5,2200.166667,0.24230502,39.50994335
64,2839.25,2105.25,0.084258317,78.10728314
65,5357.5,4824.5,0.276281697,48.30589236
66,6384.75,5218.25,0.133227102,70.43509001
67,2809,2601.666667,0.196236185,43.2967283
68,4875.25,4249.916667,0.206945602,70.8147538
69,3616.75,3325.583333,0.239070885,50.6842057
70,3317.75,3005.416667,0.269223306,59.92961786
71,5288.25,4853.25,0.237451835,54.53898523
72,4866.25,4623.416667,0.267263992,35.80593342
73,5214.5,3775.333333,0.107711136,40.50574413
74,15,14.5,0.186322167,86.16924923
75,1716.25,1617.25,0.239211277,61.37003823
76,6527.25,6007.75,0.251547898,67.26592389
77,6141.25,4413.916667,0.104849643,84.26973581
78,3056.75,2860.75,0.194520597,38.71649251
79,3771.25,3293.75,0.212901353,61.21672844
80,4935.5,4611.333333,0.293767685,39.74805054
81,6367.25,5755.083333,0.271654575,52.68599379
82,6225.75,5553.583333,0.215166201,67.52567368
83,8045.25,4801.583333,0.082516504,78.795086
84,6546.75,5676.416667,0.218087984,40.41360393
85,5883.25,5426.75,0.259263839,40.78761535
86,1804.25,1713.916667,0.277975472,46.22956011
87,2033.25,1899.083333,0.245708035,52.20199109
88,845.5,832.3333333,0.146845676,60.92193193
89,4019.75,3642.583333,0.185079028,59.29043117
90,3030.25,2705.25,0.168784812,49.91598704
91,2226.75,1830.416667,0.077165022,47.75763482
92,4475.25,3684.916667,0.149966975,45.24698618
93,77,78.83333333,0.27050883,45.16248163
94,1445.5,1344.166667,0.218774283,45.95261408
95,4107.25,3625.083333,0.282064557,49.739246
96,742.25,727.25,0.134209265,57.23151069
97,7114.75,4556.083333,0.07907526,52.16519464
98,6311,5419.333333,0.162633774,54.88178694
99,6617.75,5946.416667,0.262607434,56.38528077
100,5929,5303.666667,0.225722934,81.11749802
101,2121.5,2065,0.197058126,54.51377793
102,1672.5,1507.333333,0.201658702,83.8989156
103,4769.5,4265.5,0.269136336,49.41363081
104,2823.5,2291.166667,0.102994969,46.37396842
105,2915.75,2526.083333,0.149152822,46.43124821
106,4476.5,3979.333333,0.24180393,91.46828809
107,6280.75,4190.083333,0.094635155,56.65288857
108,4957.75,4507.75,0.238818449,56.58189976
109,6505,5732.666667,0.216250253,78.751034
110,853.75,826.0833333,0.273548147,51.52824537
111,3842.5,3494,0.177027731,57.29377073
112,3396.25,3141.083333,0.255366213,61.87046845
113,6458,4924.333333,0.129862914,56.88091388
114,7484.75,5768.75,0.130327061,50.27191671
115,1657.5,1497,0.117415064,75.72780145
116,7740,5267.5,0.100560026,46.26081711
117,1269.75,1103.916667,0.233656293,51.89721362
118,6754.25,6063.416667,0.276248754,58.62174411
119,7548.5,5696.833333,0.118568238,55.88610059
120,4277.75,3884.916667,0.283863735,54.57622232
121,4271.75,3366.916667,0.113054208,48.24450627
122,4212.5,3708.166667,0.255966668,71.02545662
123,1661.75,1539.416667,0.18385382,46.53853405
124,6852.25,5276.916667,0.114850652,56.32887605
125,2058.5,1617.666667,0.095639558,67.65642451
126,4107.25,2999.75,0.094053468,55.75638185
127,4195,3613.5,0.146761874,41.3096365
128,450.75,447.0833333,0.240763488,64.03561589
129,1237.75,1172.583333,0.181302952,59.97521549
130,1488.75,1466.75,0.20497362,65.64865611
131,3706,3375,0.212825724,44.21852046
132,334,323.1666667,0.141097645,61.78970931
133,2858.5,2559,0.267800924,47.4971438
134,5916.75,4665.583333,0.13138831,61.7112223
135,2766.5,2434.666667,0.208886019,44.98278714
136,4604.5,4208.833333,0.193924894,71.17632211
137,6398,5818,0.256764221,68.28068738
138,2202.5,2067,0.194764665,55.2672885
139,3888.5,3454.166667,0.133514081,59.15708589
140,6944.25,6281.75,0.25934025,65.03982153
141,3058.5,2377.5,0.088953007,63.39692944
142,5763.25,5071.083333,0.234841326,37.77622092
143,2875.5,2784.833333,0.283863735,49.63767074
144,3484,3205.5,0.275087621,52.67170671
145,5549,4816.666667,0.253707269,51.61131597
146,4107.5,3669,0.215214347,81.29896424
147,6508.5,5579,0.163669381,62.5190789
148,4412.5,2964.5,0.079416669,60.88358452
149,4749.25,4383.916667,0.251102101,53.10199695
150,3200,2922,0.195554121,45.5964691
151,6128.5,4127.833333,0.076612423,38.06494825
152,4739.25,3808.083333,0.116040176,45.22401761
153,5763.75,5104.916667,0.245496786,54.31138025
154,1915.25,1716.083333,0.099313158,83.39400253
155,5237.5,4064.5,0.122390843,43.64326788
156,580.5,603.8333333,0.087223176,65.33003252
157,3004,2571.833333,0.222418499,43.79445401
158,3394,2636.833333,0.105811484,56.51512405
159,1600.5,1455.833333,0.262058113,50.81273129
160,1424.25,1309.75,0.153042491,48.01983155
161,4754.75,3434.916667,0.095153949,57.37435026
162,8398.25,5471.25,0.105166443,45.06804589
163,7780.5,6529.833333,0.159773774,57.72311248
164,6552.5,5194.5,0.165460161,71.47234154
165,5770.75,5255.75,0.26875775,38.06863403
166,3631.75,3475.916667,0.32483498,35.44858114
167,2768.25,2542.416667,0.274213639,44.0649967
168,768.75,713.25,0.146426842,36.5903581
169,6061,5545.666667,0.266709872,57.86163274
170,3388,2713.166667,0.086672115,68.99786825
171,1474.25,1358.416667,0.072628457,67.6307543
172,5712.25,4765.25,0.143914748,76.39570658
173,2945.25,2664.083333,0.098840027,62.93064001
174,5566.25,4913.916667,0.210516293,63.70286318
175,2679.25,2495.083333,0.224882301,43.19747453
176,3004.5,2890.5,0.214884756,48.2238057
177,6902.5,5850.333333,0.223338779,43.80249051
178,1803,1662.166667,0.081572264,56.35290001
179,3806.5,3555.166667,0.226692328,74.89640099
180,4747,4151.666667,0.24797495,47.84184611
181,6490.75,4231.25,0.101579789,61.09729939
182,8173.5,5221.833333,0.086071711,71.89356926
183,7900.75,6243.916667,0.144965111,56.16265655
184,923.25,939.5833333,0.173490174,41.13449917
185,1012,872.6666667,0.122800625,54.56250405
186,3864.5,3461.833333,0.254290709,55.90988625
187,1979.25,1863.416667,0.270343274,43.14317708
188,7511.5,6245.166667,0.144055132,76.39454512
189,702.75,686.75,0.27022609,49.39806331
190,6034.75,5263.083333,0.261491358,54.51764709
191,173.25,169.25,0.186675996,54.71857054
192,2461.75,2231.083333,0.248092784,67.78218199
193,5044.75,3384.083333,0.087821908,47.5893039
194,1438.25,1392.75,0.102626505,53.52981661
195,3694.5,3127.666667,0.136746831,56.55609456
196,4277.5,3812,0.193642657,45.9580136
197,2514.75,2389.25,0.277967771,53.71834646
198,2823.75,2453.083333,0.129848001,39.24878397
199,5523.75,4973.75,0.232276458,51.97225236
200,4236,3886.166667,0.232769592,78.93524056
201,3216.25,2844.75,0.098259438,71.0168335
202,7444,6511.833333,0.208593414,42.74926378
203,4162.5,3720.666667,0.170974593,48.7795621
204,1496.75,1375.25,0.214730529,40.57093494
205,6693,4385.333333,0.075599259,78.42508222
206,4468.25,3645.583333,0.130939851,43.95176753
207,5953,4905.666667,0.14182194,46.80487863
208,3318,2990.833333,0.212615376,49.49149901
209,6399.5,4794.5,0.10429688,55.41374496
210,5473,4331.833333,0.118568238,65.95406825
211,6174.5,5731.5,0.246679811,48.35484842
212,520.5,531.6666667,0.132557926,64.88987202
213,6899.5,6253,0.270765082,40.07065854
214,1093.25,1009.916667,0.256767372,57.60153199
215,4686.5,4262.833333,0.284969328,48.27498062
216,3881.25,3675.75,0.275496109,50.7579588
217,7087.25,5965.916667,0.17748396,44.2563819
218,2407.5,2349.166667,0.228924546,50.99760527
219,7710,5020.833333,0.091989331,80.27137477
220,1941.5,1759.333333,0.148271703,45.41764941
221,202.5,205.3333333,0.135615095,54.66893903
222,5028.5,4471.166667,0.269139093,50.83350792
223,6182.5,5571.833333,0.265112591,60.38815058
224,162.75,157.5833333,0.152015731,56.16575118
225,1614.25,1486.916667,0.217134266,40.72945482
226,6726.25,5554.083333,0.145465476,42.78973095
227,2934,2452.666667,0.112622264,91.74178608
228,6599.25,5235.916667,0.13771074,66.33370409
229,5616.25,4909.416667,0.244455562,70.90165749
230,1435.75,1364.75,0.188522275,33.24844286
231,5048.25,4551.583333,0.278058044,54.12976037
232,7822.5,6235.666667,0.1538074,45.28430262
233,6890.5,5995.166667,0.220134169,44.24309683
234,6283,5120.333333,0.127540096,50.72015079
235,289.25,286.0833333,0.160470651,60.42175815
236,6669.5,5996.333333,0.256934754,59.44831764
237,6653.5,4537.5,0.110884972,59.62211113
238,2565.25,2270.25,0.193915264,44.8050056
239,6921.75,5246.916667,0.143103542,50.45838449
240,4292.5,3220.333333,0.086697841,53.63961154
241,4517.5,4151.333333,0.270502001,41.1144308
242,2699.5,2469.333333,0.244264507,65.04800286
243,8302.25,4824.416667,0.068552125,73.7547492
244,5303.5,4600,0.282427189,50.94547976
245,2076.75,1991.25,0.275633925,45.48592688
246,7145.5,5847.833333,0.135994722,66.1607292
247,4657.75,3510.416667,0.107414439,33.83317917
248,5356,5006.666667,0.221098186,65.84771692
249,6694.75,6090.916667,0.276480182,44.43205303
